編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2007-04-01 20:44:38,121.42,23.81,3.7,26.1,3,花蓮西林地震站西方  2.3  公里(花蓮西林地震站西方  2.3  公里)
025   ,2007-03-31 10:45:06,121.91,24.86,4.6,95.3,3,宜蘭市地震站東偏北方  19.0  公里(宜蘭市地震站東偏北方  19.0  公里)
024   ,2007-03-31 08:02:34,121.67,24.11,3.4,9.7,4,花蓮秀林地震站東偏北方  6.8  公里(花蓮秀林地震站東偏北方  6.8  公里)
小區域有感地震,2007-03-30 21:21:45,121.89,24.22,4.2,8.5,2,宜蘭南澳地震站南偏東方  27.1  公里(宜蘭南澳地震站南偏東方  27.1  公里)
小區域有感地震,2007-03-30 20:26:04,121.37,23.12,3.2,19.4,2,台東成功地震站北偏西方  2.5  公里(台東成功地震站北偏西方  2.5  公里)
023   ,2007-03-30 12:17:45,121.61,23.85,3.7,23.1,3,花蓮市地震站南方  14.3  公里(花蓮市地震站南方  14.3  公里)
小區域有感地震,2007-03-30 12:12:49,121.6,23.85,3.6,23,2,花蓮市地震站南方  13.9  公里(花蓮市地震站南方  13.9  公里)
022   ,2007-03-27 13:16:40,120.62,23.36,4.1,11.5,3,嘉義大埔地震站北方  12.4  公里(嘉義大埔地震站北方  12.4  公里)
小區域有感地震,2007-03-27 01:04:24,120.78,22.85,4.2,20.8,3,高雄甲仙地震站東南方  31.9  公里(高雄甲仙地震站東南方  31.9  公里)
小區域有感地震,2007-03-25 16:12:43,121.75,24.26,3.4,15.3,3,宜蘭南澳地震站南方  18.0  公里(宜蘭南澳地震站南方  18.0  公里)
小區域有感地震,2007-03-24 18:11:01,121.31,23.09,4,17.5,2,台東成功地震站西方  6.0  公里(台東成功地震站西方  6.0  公里)
小區域有感地震,2007-03-24 09:36:28,121.32,23.1,3.4,14.6,2,台東成功地震站西方  5.7  公里(台東成功地震站西方  5.7  公里)
小區域有感地震,2007-03-24 07:07:48,121.31,23.1,3.7,14.3,3,台東成功地震站西方  6.1  公里(台東成功地震站西方  6.1  公里)
小區域有感地震,2007-03-24 05:24:40,121.32,23.1,4,14.6,3,台東成功地震站西方  5.9  公里(台東成功地震站西方  5.9  公里)
小區域有感地震,2007-03-24 04:22:03,121.33,23.24,3.1,7,2,花蓮玉里地震站南方  12.8  公里(花蓮玉里地震站南方  12.8  公里)
小區域有感地震,2007-03-24 02:23:55,121.31,23.11,3.6,12.8,2,台東成功地震站西方  6.9  公里(台東成功地震站西方  6.9  公里)
021   ,2007-03-24 02:23:02,121.32,23.11,4.2,14.2,3,台東成功地震站西方  5.9  公里(台東成功地震站西方  5.9  公里)
小區域有感地震,2007-03-24 02:11:29,121.31,23.11,3.7,13.8,3,台東成功地震站西方  6.3  公里(台東成功地震站西方  6.3  公里)
小區域有感地震,2007-03-24 02:03:30,121.31,23.11,3.7,14.2,3,台東成功地震站西方  6.2  公里(台東成功地震站西方  6.2  公里)
小區域有感地震,2007-03-23 10:20:43,120.59,22.42,3.9,23,1,屏東枋寮地震站西北方  7.1  公里(屏東枋寮地震站西北方  7.1  公里)
小區域有感地震,2007-03-23 00:10:08,121.13,22.44,3.7,28.3,2,台東大武地震站東偏北方  24.9  公里(台東大武地震站東偏北方  24.9  公里)
020   ,2007-03-19 18:05:03,121.88,24.49,3.3,17.6,4,宜蘭蘇澳地震站南方  13.8  公里(宜蘭蘇澳地震站南方  13.8  公里)
019   ,2007-03-18 07:57:49,121.76,24.26,3.9,16.8,3,宜蘭南澳地震站南方  18.3  公里(宜蘭南澳地震站南方  18.3  公里)
018   ,2007-03-18 07:18:18,121.76,24.26,3.9,16.7,4,宜蘭南澳地震站南方  17.9  公里(宜蘭南澳地震站南方  17.9  公里)
小區域有感地震,2007-03-18 02:01:57,121.03,23.84,3.7,29.8,2,南投名間地震站東方  34.8  公里(南投名間地震站東方  34.8  公里)
小區域有感地震,2007-03-17 20:46:47,121.87,24.48,2.8,15.1,3,宜蘭南澳地震站東偏北方  13.0  公里(宜蘭南澳地震站東偏北方  13.0  公里)
小區域有感地震,2007-03-17 20:23:27,121.88,24.48,3.3,17.9,3,宜蘭蘇澳地震站南方  14.0  公里(宜蘭蘇澳地震站南方  14.0  公里)
小區域有感地震,2007-03-16 19:40:41,121.41,22.9,4.3,17.2,3,台東成功地震站南方  22.5  公里(台東成功地震站南方  22.5  公里)
小區域有感地震,2007-03-15 21:46:13,120.49,23.28,3,10.4,1,台南東山地震站西北方  2.3  公里(台南東山地震站西北方  2.3  公里)
小區域有感地震,2007-03-15 06:13:50,121.9,24.45,3.1,20.1,3,宜蘭南澳地震站東方  15.5  公里(宜蘭南澳地震站東方  15.5  公里)
小區域有感地震,2007-03-14 20:00:15,120.38,22.06,4.4,44.7,2,屏東恆春地震站西方  38.5  公里(屏東恆春地震站西方  38.5  公里)
小區域有感地震,2007-03-14 11:31:36,120.46,21.79,4,54.5,1,屏東恆春地震站西南方  37.9  公里(屏東恆春地震站西南方  37.9  公里)
小區域有感地震,2007-03-14 10:31:59,121.72,24.15,3.6,6,2,花蓮秀林地震站東偏北方  13.7  公里(花蓮秀林地震站東偏北方  13.7  公里)
